dominio,indicador,descriptores,valores
Supervivivencia,"Niñas, niños y adolescentes de 0 a 17 años con carencia por acceso a los servicios de salud",d2_i1_d,d2_i1_v
Supervivivencia,Centros de salud o casa de salud,d2_i2_d,d2_i2_v
Supervivivencia,UMR IMSS,d2_i3_d,d2_i3_v
Supervivivencia,Hospitales,d2_i4_d,d2_i4_v
Supervivivencia,Número de nacimientos,d2_i5_d,d2_i5_v
Supervivivencia,Mortalidad de 0 a 17 años,d2_i6_d,d2_i6_v
Supervivivencia,Mortalidad infantil en menores de un año,d2_i7_d,d2_i7_v
Supervivivencia,Menores de 5 años,d2_i8_d,d2_i8_v
Supervivivencia,Número de nacimientos de madres entre 10 y 17 años.,d2_i9_d,d2_i9_v
Supervivivencia,Población de 0 a 4 años sin derechohabiencia,d2_i10_d,d2_i10_v
Supervivivencia,Población de 5 a 9 años sin derechohabiencia,d2_i11_d,d2_i11_v
Supervivivencia,Población de 10 a 14 años sin derechohabiencia,d2_i12_d,d2_i12_v
Supervivivencia,Población de 15 a 19 años sin derechohabiencia,d2_i13_d,d2_i13_v
