dominio,derecho,dimension,indicador,descriptores,valores
Demografía,No aplica,No aplica,Población total en el estado de Colima,d1_i1_d,d1_i1_v
Demografía,No aplica,No aplica,Población total de hombres en el estado de Colima,d1_i2_d,d1_i2_v
Demografía,No aplica,No aplica,Población total de mujeres en el estado de Colima,d1_i3_d,d1_i3_v
Demografía,No aplica,No aplica,Localidades por municipio,d1_i4_d,d1_i4_v
Demografía,No aplica,No aplica,"Población de Niñas, Niños y Adolescentes (0-17 años)",d1_i5_d,d1_i5_v
Demografía,No aplica,No aplica,Hombres de 0 a 17 años,d1_i6_d,d1_i6_v
Demografía,No aplica,No aplica,Mujeres de 0 a 17 años,d1_i7_d,d1_i7_v
Demografía,No aplica,No aplica,Niñas y Niños 0 a 5 años,d1_i8_d,d1_i8_v
Demografía,No aplica,No aplica,Niñas y Niños de 6 a 11 años,d1_i9_d,d1_i9_v
Demografía,No aplica,No aplica,Adolescentes de 12 a 17 años,d1_i10_d,d1_i10_v
Demografía,No aplica,No aplica,Población indígena de 3 a 17 años,d1_i11_d,d1_i11_v
Demografía,No aplica,No aplica,Población Afrodescendiente de 0 a 17 años,d1_i12_d,d1_i12_v
